801,1.830752
802,1.747591
803,1.640244
804,1.522724
805,1.445809
806,1.383928
807,1.335929
808,1.299297
809,1.256200
810,1.196010
811,1.155815
812,1.101043
813,1.042436
814,0.987399
815,0.943871
816,0.914105
817,0.911167
818,0.890648
819,0.872652
820,0.840819
821,0.809425
822,0.775087
823,0.754443
824,0.734252
825,0.721170
826,0.711270
827,0.706884
828,0.697934
829,0.693658
830,0.675138
831,0.654687
832,0.636746
833,0.612122
834,0.592844
835,0.578333
836,0.568880
837,0.554885
838,0.539101
839,0.516593
840,0.503095
841,0.534857
842,0.565856
843,0.599042
844,0.611301
845,0.614797
846,0.602594
847,0.598743
848,0.607410
849,0.605868
850,0.621301
851,0.694487
852,0.715440
853,0.696226
854,0.658044
855,0.636357
856,0.629368
857,0.635972
858,0.659116
859,0.676927
860,0.665830
861,0.721958
862,0.753091
863,0.778017
864,0.775374
865,0.766729
866,0.752515
867,0.752119
868,0.757136
869,0.778482
870,0.802304
871,0.872680
872,0.893094
873,0.899902
874,0.862625
875,0.826308
876,0.804517
877,0.813722
878,0.815436
879,0.833615
880,0.850586
881,0.837038
882,0.805932
883,0.768391
884,0.734854
885,0.692333
886,0.667489
887,0.650916
888,0.634820
889,0.631066
890,0.629657
891,0.627223
892,0.623367
893,0.636146
894,0.636819
895,0.648803
896,0.643068
897,0.629790
898,0.620965
899,0.602165
900,0.591041
901,0.642283
902,0.683750
903,0.715771
904,0.705059
905,0.680385
906,0.657337
907,0.644682
908,0.643661
909,0.650220
910,0.664048
911,0.671309
912,0.681923
913,0.661620
914,0.630064
915,0.599223
916,0.579290
917,0.567649
918,0.557722
919,0.566707
920,0.560825
921,0.593290
922,0.617854
923,0.630482
924,0.650626
925,0.674376
926,0.716292
927,0.732986
928,0.734471
929,0.724469
930,0.705799
931,0.710348
932,0.723793
933,0.758675
934,0.755578
935,0.746146
936,0.714586
937,0.690749
938,0.683952
939,0.683833
940,0.676714
941,0.665919
942,0.644356
943,0.619016
944,0.592070
945,0.577372
946,0.576765
947,0.562250
948,0.548786
949,0.534423
950,0.519347
951,0.517815
952,0.507105
953,0.496092
954,0.486038
955,0.476662
956,0.477209
957,0.469053
958,0.455959
959,0.436734
960,0.424825
